index  r co          x co          y co          z co          spee          v co          w co          u co          Ener          
204    1.0240        0.4005        -0.1724       0.9265        0.6094        0.1022        0.5269        -0.2887       -0.6476       
205    2.6141        -1.2386       -1.1640       -1.9861       0.2593        -0.1811       0.1327        0.1297        -0.5468       
206    2.6380        -0.5708       2.0123        1.6074        0.2797        -0.1564       -0.2200       -0.0734       -0.5316       
207    3.2521        0.8845        0.8959        -2.9985       0.4080        0.3505        -0.2008       0.0574        -0.3503       
208    17.5442       -1.9834       -17.4026      -1.0072       0.0865        0.0313        -0.0806       0.0023        -0.0976       
209    1.7895        1.0992        -0.8513       -1.1267       0.8127        0.4390        -0.6834       0.0250        -0.1322       
210    1.0076        0.0950        0.9863        0.1830        0.9699        0.3330        0.6190        -0.6683       -0.0835       
211    0.5808        0.2513        -0.4731       0.2243        0.8824        -0.4255       0.7662        0.1028        -0.3720       
212    3.2597        0.2288        2.9903        1.2773        0.5733        -0.3262       -0.4395       -0.1707       -0.1871       
213    0.8495        0.3198        -0.4602       0.6384        0.7750        0.1359        0.6292        0.4316        -0.4730       
214    2.1502        -0.3147       -2.0877       -0.4076       0.6806        0.0744        0.6368        -0.2284       -0.2428       
215    3.0118        -2.3227       -0.2301       -1.9034       0.5296        -0.4067       -0.3387       -0.0184       -0.2695       
216    0.8818        -0.1690       -0.1714       0.8483        1.1718        -0.8209       -0.5867       -0.5958       0.3095        
217    2.6976        -0.0619       -1.6821       2.1080        0.3712        0.2240        0.1494        0.2554        -0.4619       
218    2.3319        0.1937        0.5617        -2.2550       0.6646        -0.3912       0.2224        -0.4891       -0.2258       
219    0.2791        -0.1078       0.0563        0.2512        0.8128        0.1418        -0.7950       -0.0921       -0.5524       
220    1.3454        -0.5584       0.6697        1.0246        0.6767        0.5802        -0.0984       0.3341        -0.4606       
221    3.5682        2.4618        -2.2280       1.3068        0.4346        -0.4068       0.1519        -0.0177       -0.2893       
222    3.4419        -0.2737       -1.8463       -2.8918       0.2808        0.1654        0.2232        -0.0413       -0.4141       
223    1.4906        0.5548        -1.3813       -0.0777       0.2016        -0.0159       -0.0542       -0.1936       -0.8345       
224    0.8709        0.8626        0.0668        -0.0993       1.1697        -0.4524       0.7506        -0.7747       0.3012        
225    1.7783        0.8444        0.1528        1.5576        0.3877        -0.2686       -0.2640       0.0923        -0.6452       
226    3.5439        2.0412        -1.3807       2.5467        0.4231        -0.1364       0.0880        0.3907        -0.3019       
227    0.5088        -0.4358       -0.2427       -0.1005       0.8349        -0.2068       0.6047        -0.5373       -0.4713       
228    2.0517        -0.1413       -1.8111       0.9536        0.9651        0.6890        -0.6112       0.2882        0.2031        
229    5.8976        -5.4541       0.1948        -2.2353       0.3185        0.2702        0.1293        0.1082        -0.2027       
230    2.7150        -0.1280       2.1777        1.6164        0.6339        0.3904        0.4358        0.2439        -0.1949       
231    3.0272        -0.5928       1.8640        -2.3104       0.2909        0.0280        -0.0388       0.2869        -0.4632       
232    2.0213        0.7232        -1.6667       0.8859        0.7962        -0.0298       0.7928        -0.0668       -0.1014       
233    3.6052        3.5614        -0.5591       0.0257        0.5492        -0.4457       0.3188        -0.0357       -0.1724       
234    4.6647        -4.3405       1.2118        1.2048        0.6384        -0.5426       0.3365        0.0001        0.0299        
235    2.7111        -2.4853       -1.0790       -0.0940       0.3568        -0.2197       -0.0480       0.2770        -0.4700       
236    1.6403        0.5430        -0.5894       1.4312        0.5481        0.3934        0.3124        0.2192        -0.5322       
237    3.1258        -0.5916       1.2335        -2.8106       0.2736        -0.1437       0.2181        0.0815        -0.4589       
238    1.1109        0.8813        -0.6763       -0.0075       1.0603        -0.3370       -0.9089       -0.4297       0.1328        
239    2.2223        1.5552        0.9625        -1.2623       0.6938        0.4672        -0.3889       -0.3345       -0.2089       
240    3.4445        -2.3054       -0.9790       -2.3645       0.5097        0.4940        -0.0462       0.1167        -0.2328       
241    1.2222        -0.4261       0.0596        1.1440        0.7878        -0.7154       0.2994        0.1384        -0.3358       
242    2.5323        1.3021        -1.5802       1.4899        0.6332        -0.5134       -0.0909       -0.3593       -0.2279       
243    0.8874        -0.4453       0.1990        -0.7414       0.7008        0.1741        0.3135        0.6021        -0.5708       
244    2.4885        -1.6483       -0.6322       -1.7538       0.8706        0.8620        0.1223        0.0040        0.1211        
245    2.9673        -2.7418       -1.0706       -0.3754       0.5183        0.3541        -0.2748       -0.2603       -0.2880       
246    0.6352        -0.2514       0.5094        -0.2844       0.5072        0.0790        0.0230        0.5005        -0.8788       
247    2.6047        -1.4883       -2.1345       -0.1152       0.5583        -0.3245       -0.0472       0.4519        -0.3040       
248    4.4647        -2.0157       3.6314        -1.6381       0.3771        0.2191        0.2614        0.1608        -0.2507       
249    2.1809        -0.0812       0.0335        2.1791        0.5011        0.2337        0.1213        -0.4264       -0.4481       
250    3.3103        2.2826        -1.7129       -1.6775       0.4235        -0.0001       -0.3450       -0.2457       -0.3299       
251    11.7228       -5.5125       7.4046        -7.2254       0.3690        0.1215        0.0348        0.3467        -0.0204       
252    0.5065        0.2977        -0.1198       0.3918        0.4290        -0.2980       0.2929        -0.0973       -0.9849       
253    1.9727        -1.8723       0.5379        -0.3110       0.3150        -0.2276       0.1663        -0.1406       -0.6475       
254    5.4434        -4.6437       -2.1566       -1.8481       0.3207        -0.3109       0.0787        -0.0040       -0.2249       
255    1.3656        0.4148        1.3003        -0.0443       0.4846        0.4296        0.1802        -0.1332       -0.6776       
256    2.7450        -1.9189       0.3244        -1.9359       0.2265        0.1587        -0.0751       -0.1431       -0.5404       
257    7.0832        5.0162        -1.7843       4.6718        0.2801        -0.1991       0.0437        -0.1921       -0.1771       
258    0.7516        -0.2064       0.6690        0.2736        0.6863        -0.5827       -0.0723       -0.3552       -0.6321       
259    2.3876        1.4277        -0.2084       1.9023        0.7264        -0.3756       -0.6186       -0.0622       -0.1287       
260    2.5423        -1.5711       1.4204        1.4062        0.3952        -0.3580       0.0636        0.1549        -0.4708       
261    1.6803        -0.5472       0.0766        -1.5868       0.3917        -0.2338       -0.1209       0.2901        -0.6682       
262    2.1609        1.1268        -1.6508       -0.8214       0.5463        -0.4760       -0.2668       0.0254        -0.4051       
263    2.0666        -0.4089       -0.9338       1.7977        0.5895        -0.0421       0.1772        -0.5607       -0.3772       
264    0.7943        -0.5845       0.2350        -0.4837       0.7119        0.6618        0.2431        0.0992        -0.5835       
265    1.3834        -0.2473       0.9296        -0.9942       1.0104        -0.2768       -0.9663       0.1030        0.1140        
